S.No	Message	Category	Sub Category	New Sub Category	Negative or Not	Remarks
11488	I am not in bangalore. Will be in office tomorrow. Anything urgent?	General	General	G_General_Neg	N_Emergency_Personal	
4537	Please collect your certificates by 3PM today	To-Do	Event	TD_Event		
5448	Dear Madam, The next board meeting is postponed to Monday, 24th of Apr at 10am.	To-Do	Event	TD_Event		
5517	The quarterly meeting on Lions Club will be held on this 10th April.Please join with your Family	To-Do	Event	TD_Event		
8421	Urgently require your resume for IBM, call back as soon as possible	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
11746	Ok .. Take care	General	General	G_General		
5048	Please inform manager to call me	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
12396	Network problem ..will call you ASAP	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
3132	Car Accident at Sarojini Nagar, Delhi. Need ambulance	Emergency	Health	E_Health		
5528	You have to be part of christmas karaoke, please be available on time	To-Do	Event	TD_Event		
802	We'll meet Tom day after tomorrow	To-Do	General	TD_General		
371	He had a traffic accident. call police	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
11376	Will come by 12 noon today	General	General	G_General		
2274	She cuts her wrist and cut is deep , she is unconscious , call doctor	Emergency	Health	E_Health		
5380	please callback immediately after reaching hospital	To-Do	Urgent_Normal	TD_Urgent_Normal		
13000	Fire incident inside the office, call the fire engine now	Emergency	Fire	E_Fire		
1683	A man called Slim was killed in the accident.	General	General	G_General		
12993	Electrical grid on fire, inform the fire department immediately	Emergency	Fire	E_Fire		
8742	We're pleased to welcome you for the meeting	General	General	G_General		
3998	Doctor needs the test reports, bring it while coming from home.	Emergency	Health	E_Health		
2605	Call an ambulance with doctor available in it, because patient's health is critical	Emergency	Health	E_Health		
12858	Can't talk. Call you in 15 minutes.	To-Do	Event	TD_Event		
2540	Medical emergency with the neighbour	Emergency	Health	E_Health		
9951	I'm watching lotr with my sis dis aft. Be ready for dinner at night	To-Do	General	TD_General		
6920	Fire in Cessna Busines Park, the Fire brigade is stuck in Sarjapur road, please inform other centres for avoid delay.	Emergency	Fire	E_Fire		
11188	I am here at visa interview,I need important document.please fax me	To-Do	Urgent_Normal	TD_Urgent_Normal		
1971	what is your father?	General	General	G_General		
10139	I dled 3d its very imp	Emergency	Health	E_Health		
3928	I am feeling giddiness, please call doctor	Emergency	Health	E_Health		
7336	The next board meeting is postponed to Monday, 12th of October at 10am.	To-Do	Event	TD_event		
9823	person has low b.p. please call the doctor	Emergency	Health	E_Health		
7817	call school cordinator its urgent kids are not back to home	Emergency	Personal	E_Personal		
10286	Welp apparently he retired.Please be a part of his retirement ceromony.dont forget it	To-Do	General	TD_General		
8480	call me back whenever you are done with it.	General	General	G_General		
6267	The fire burned down ten houses	To-Do	Urgent_Normal	TD_Urgent_Normal		
2270	Boy standing next to you has a gun and his behaviour is not decent, call police	Emergency	Police	E_Police		
11780	All our 3061 branches are open today and tomorrow till 6 pm. Our staff is ready to help you deposit/exchange your discontinued Rs. 500/1000 notes. You can deposit any amount into your a/c without limits.	General	General	G_General		
2947	Protest is going on outside. The vehicles are on fire, need immedaite assistance	Emergency	Fire	E_Fire		
7104	Waiting for your call	To-Do	General	TD_General		
6407	Plan to book movie tickets for tonight	To-Do	Event	TD_Event		
1953	eat before sleep	General	General	G_General		
11583	Rs 500.00 was spent on your Credit Card 4386XXXXXXXX3646 on 16-OCT-16 at BHARTI TELEMEDIA LTD.	General	General	G_General		
13039	Multiple explosions in the chemical factory, inform the fire department	Emergency	Fire	E_Fire		
10342	There is shooting in school call ambulance immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
1162	There's a telephone call from a person named Brown.	General	General	G_General		
12349	GM ABC. I am pre occupied with something else and ASDF will meet you all. Regards XYZ	General	General	G_General		
12621	I have update everything and I will meet you tomorrow	To-Do	General	TD_General		
8840	She agreed with him that I should go to the meeting.	General	General	G_General		
6094	share me all the pharmacy near by my place with phone numbers? I am new in this place	Emergency	Health	E_Health		
1303	Please ask him to call me.	General	General	G_General		
10894	please call back to mom, it's very urgent	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
10788	Threatning calls received	Emergency	Police	E_Police		
7682	Song alone in the station need help	Emergency	Personal	E_Personal		
12207	I need to reach office by 11	To-Do	Event	TD_Event		
13089	Massice fire due to earthquake, please someone help	Emergency	Fire	E_Fire		
7291	Be ready for lunch meet 1PM at xyz hotel	To-Do	Event	TD_event		
11492	Delicious taste that lingers! Order @ flat 15% off! Also, get 20% cash back via freecharge. Use Code: NAVRATRI. Order here https://goo.gl/zOPpMo (MOV: Rs. 300)	General	General	G_General		
6430	if urgent, please call me	To-Do	General	TD_General		
9943	Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls1/minMobsmoreLKPOBOX177HP51FL	To-Do	General	TD_General		
6154	Emergency! There is cyclone in bangalore. Be stay at home do not roam around.	Emergency	Health	E_Health		
10355	Immediate help required to Hurricane hit area call immediately to nmber 18002345673	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
10298	It wont be until 2.15 as trying 2 sort house out, is that ok?	General	General	G_General		
3572	Old elder people are bitten by the landowner	Emergency	Police	E_Police		
1878	boarding stoped ??	General	General	G_General_Neg	N_Emergency_Personal	
11636	Dear Mr X -Your IndiGo PNR BE1Q8K is cancelled. Use our app- http://mobile.goindigo.in to book next time.	General	General	G_General		
5556	Patent infringement happened with our idea ,so lets meet urgnetly @ conference room	To-Do	Event	TD_Event		
233	Tom needs to make an urgent telephone call.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
3746	Auto driver is asking for more amount and behaving very rudely	Emergency	Police	E_Police		
4037	Complaint on school teacher for beating the child very badly.	Emergency	Police	E_Police		
11798	Password for accessing ebill is your account number. Alternatively, you can use an 8 digit password which is a combination of the 1st 3 letters of your name (lower case) & last 5 digits of your registered mobile.	General	General	G_General		
4459	Children will leave for picnic at 8AM, don’t be late	To-Do	Event	TD_Event		
203	That sounds urgent. call her	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
3975	I need medical attention at the earliest	Emergency	Health	E_Health		
3709	Visiting certain people or places, or traveling out of state without the permission of your probation office	Emergency	Police	E_Police		
590	Then I pinned a veil over my head so that it covered my face and fell in folds down to my shoulders, and tied an enormous bustle round my small waist, so that it dangled behind, almost meeting the hem of my skirt.	General	General	G_General		
9161	Please call me back.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
3486	Because of the long quequ in ATM, the old person got unconsious, please call the ambulance unrgently.	Emergency	Health	E_Health		
3967	Please provide me with the doctor number	Emergency	Health	E_Health		
395	I am afraid the doctor was called away on an emergency earlier today, but he should be back soon.	General	General	G_General_Neg	N_Emergency_Health	
6032	Please be safe. There is an emergency aleart for Ebola virus at bangalore	Emergency	Health	E_Health		
1005	Tom was supposed to meet me at 2:30.	General	General	G_General		
335	I will call them to come immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
13124	Fire in xyz markit..	Emergency	Fire	E_Fire		
6804	The next colony is on fire, need immediate assistance	Emergency	Fire	E_Fire		
11231	I lost my purse ,please help me in finding my purse can you check in your home	To-Do	Urgent_Normal	TD_Urgent_Normal		
13023	The toy shop in front of the Mark's house is on fire, call the fire engine	Emergency	Fire	E_Fire		
9052	Found strange object in mall	General	General	G_General		
4114	Bomb alert message in the Company	Emergency	Police	E_Police		
3031	Recharge the data card now, it's urgent I have get work done now	Emergency	Personal	E_Personal		
236	The manager called an urgent staff meeting. Due to some robber at shop	General	General	G_General_Neg	N_Emergency_Police	
11433	SCIENCE OLYMPIAD FOUNDATION has been added as a payee for fund transfer on Citibank Online. If not initiated by you, please contact CitiPhone immediately.	General	General	G_General		
6884	Phone got bursted, got burns, cant speak	Emergency	Health	E_Health		
8280	Will do. Was exhausted on train this morning. Too much wine and pie.	General	General	G_General		
1615	He's what they call a walking encyclopedia.	General	General	G_General		
9005	10K withdrwan from account without my knowledge	Emergency	Police	E_Police		
7953	Due to accident fire caught to car. Two people are stuck inside. Call emergency.	Emergency	Fire	E_Fire		
13106	“May I have your attention, please? May I have your attention, please? A fire has been reported in the building. A fire has been reported in the building. Please proceed to the stairways and exit the building. Do not use the elevators.”	Emergency	Fire	E_Fire		
11731	Processing Your Order: Your Pepperfry order will be delivered on or before 23-Nov. Remember you can track it at http://pfry.fyi/pB9nR	General	General	G_General		
1371	The work calls for patience.	General	General	G_General		
9953	I think its far more than that but find out. Check google maps for a place from your dorm.	To-Do	General	TD_General		
8817	The meeting was closed.	General	General	G_General		
11476	Total: 21450.	General	General	G_General		
6237	It's important, informed immediately	To-Do	Urgent_Normal	TD_Urgent_Normal		
10210	U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565	General	General	G_General		
11329	Ground floor house caught fire ,call fire station	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
4489	If your schedule permits, let's tentatively plan on meeting tomorrow at 2:00 pm.	To-Do	Event	TD_Event		
891	I'll meet you Monday night	To-Do	General	TD_General		
2091	Someone is freaking out in my home	Emergency	Police	E_Police		
150	I asked him to meet me at office	General	General	G_General		
5553	The expected output is not comming so we will think off other way so meet at saba room	To-Do	Event	TD_Event		
6533	set reminder for a tv show	To-Do	General	TD_General		
866	he will meet him today morning	General	General	G_General		
4169	How is the traffic to reach my home now ?	Emergency	Police	E_Police		
274	She sent me an urgent telegram to call her	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
2323	I don't want you to give that number to anyone unless it's an emergency, you understand?	General	General	G_General_Neg	N_Emergency_Personal	
10561	I will call you in half an hour	To-Do	General	TD_General		
10800	Buiding collapsed	Emergency	Police	E_Police		
8571	You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750	General	General	G_General		
7086	Please call	To-Do	General	TD_General		
4107	IPL betting in the restaurant	Emergency	Police	E_Police		
9543	Not able to find my files, please call back.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
7182	Heavy rain, please call back.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
8292	07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow	To-Do	Event	TD_Event		
2428	Fourteen adults and two children were displaced. Six units in total were damaged — two by fire, two by smoke and two by water, Bowron said. The building has about 40 apartment units.	Emergency	Fire	E_Fire		
7555	They are chasing us in their cars	Emergency	Police	E_Police		
11589	The NEFT Transaction from your a/c no XXXXXX2809 with reference number CITIN16698727621 for Rs 11500.00 has been credited on 17-10-2016 at 08:06:58.	General	General	G_General		
1484	Stop calling me Tom	General	General	G_General		
4183	Help me to identify the police station handling crime incidents nearby my city.	Emergency	Police	E_Police		
12057	FLAT 50% OFF all uberPOOL rides in Kolkata. Ride at half the price of uberGO fare every evening, from 5-8pm. Request your uberPOOL ride NOW! t.uber.com/uapp	General	General	G_General		
9360	Pregnant woman needs help , please call XXXXXXXXX asap	Emergency	Health	E_Health		
8193	Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Just meet me tomorrow	General	General	G_General		
9562	Pizza came, please call back.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
4084	Girl is attackd by stranger. Please help	Emergency	Police	E_Police		
9068	Lost baggage	General	General	G_General		
13203	Fire at movie theatre..people stuck in there , help !!	Emergency	Fire	E_Fire		
12363	You've earned Rs.50 goCash+ in your online@gmail.com account because your contact booked a trip on Goibibo. https://bnc.lt	General	General	G_General		
6980	Zoo is closed for few days since fire catches due to summer temperature. Plan your vacation accordingly.	General	General	G_General		
4243	Send the picture of the child to verify if existing in the missing list	Emergency	Police	E_Police		
6863	EMERGENCY, NEED HELP, FIRE AT OUR FLOOR	Emergency	Fire	E_Fire		
11006	Feeling eye discomfort and redness	Emergency	Health	E_Health		
8267	She was supposed to be but couldn't make it, she's still in town though. I can fix your meeting for Monday, 22 August	To-Do	Event	TD_Event		
650	Tom got a call. (	General	General	G_General		
11	they got a call from delhi to attend conference	General	General	G_General		
8531	Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2. choose fast?	General	General	G_General		
5805	do review by 5 pm	To-Do	Urgent_Normal	TD_Urgent_Normal		
7365	You have a cab at 2PM	To-Do	Event	TD_event		
1051	Tom has to meet Mary in the park tomorrow at 2:30	General	General	G_General		
4341	My colleagues are beaten up due to rascim. Please help.	Emergency	Police	E_Police		
4886	We will meet the designer tomorrow afternoon	To-Do	Event	TD_Event		
5378	he sent me a message to call back immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
415	come to office and deliver this patch important	To-Do	Urgent_Normal	TD_Urgent_Normal		
8643	you should learn swimming asap.	To-Do	Urgent_Normal	TD_Urgent_Normal		
10046	Near kalainar tv office.the nampet bus stop at 2PM	To-Do	General	TD_General		
11353	Okay, will coordinate and return to Rajib tomorrow	To-Do	General	TD_General		
5402	he needs blood please,call to blood bank immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
940	I'll meet you in lunch at 1:30pm	To-Do	Event	TD_Event		
12550	Ok .. Got the info. . nw problems .. Will call again later	To-Do	General	TD_General		
2113	Can't talk,driving bike	General	General	G_General		
10845	please call me after some time	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
9782	Breathing problem, please help me quick	Emergency	Health	E_Health		
4010	Collect the test reports while coming from clinic	Emergency	Health	E_Health		
6272	I need some information from you, call immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
1120	I was going to call him, but thought better of it.	General	General	G_General		
7906	police are taking me to station	Emergency	Personal	E_Personal		
6618	finish monthly growth report	To-Do	General	TD_General		
12007	Cashback of Rs. 60.06 is credited to your bb wallet for order BBVO-19666963-131216. The new credit balance in your account is Rs 57.06	General	General	G_General		
1104	The baseball game was called off because of rain.	General	General	G_General		
9148	Elderly Couple Targeted By Chain Snatcher in Slik board junction	General	General	G_General		
10245	Call me da, i am waiting for your call.	General	General	G_General_Neg	N_Emergency_Personal	
5631	Groceries purchase tomorrow take membership card	To-Do	General	TD_General		
8841	He doesn't have any idea how important this meeting is.	General	General	G_General		
10097	Get clothes from loundry	To-Do	General	TD_General		
6623	update invoice templates	To-Do	General	TD_General		
11001	Got Sore throat.	Emergency	Health	E_Health		
9091	Husband is trochering for dowry	General	General	G_General		
1483	She called for help	General	General	G_General_Neg	N_Emergency_Personal	
8936	Had tough time in office today, Need to talk, Do callback	To-Do	General	TD_Urgent_CallBack		
1018	Tom will meet with all of you at 2:30	General	General	G_General		
2988	you need to go for surgery immediately	Emergency	Health	E_Health		
2591	Severe bleeding call a doctor	Emergency	Health	E_Health		
2510	I am not getting an ambulance, please help me	Emergency	Health	E_Health		
4567	The school is about to close for the day ,kindly call back immediately as your child is still in school.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
5698	Keep for ice cubes in refrigerator today	To-Do	General	TD_General		
10480	We should meet and daily and discuss exam topics during final term.	To-Do	General	TD_General		
3240	I am not well. I need a doctor	Emergency	Health	E_Health		
1740	Tom took out his cell phone and called for help.	General	General	G_General_Neg	N_Emergency_Personal	
11627	We are experiencing delay in order 1478922585155. We will dispatch your order in the next 2-3 working days.If queries, call (080)67415XXX	General	General	G_General		
7290	Coffee time!! Please find the nearest café.	To-Do	General	TD_General		
12213	AVB is finishing his own partnership registration formalities first .. Within this week he will get back to you	General	General	G_General		
4682	Once the checkup is done ,Call back immediately	To-Do	Urgent_Normal	TD_Urgent_Normal		
11343	Come by Bus as all the trains are canceled for delhi route .	To-Do	General	TD_General		
2100	My friend is too cranky	General	General	G_General		
336	please call me in emergency time	General	General	G_General		
6752	I gotta leave now	General	General	G_General		
12869	Dear Customer, Thank you for registering with Tanishq.Your registration has been done successfully. Ph:-18002582598	General	General	G_General		
12717	Hi Mark. Welcome to Glow Rewards. You've earned 219.4 pts towards purchase of Rs.2194.00 for Bill 1100210174711. You can avail exciting offers and deals in-store and in-app	General	General	G_General		
9635	Do you know any neurlogy doctor a good one for consulation at appolo?	Emergency	Health	E_Health		
2571	This person is unconcious please call doctor immedialtely	Emergency	Health	E_Health		
11633	Only for Today! FLAT Rs500 off on Rs1499 on Lifestyle & Homecentre Diwali gifting! Shop Online at Lifestylestores.com Use Code-DIWALI500- valid on website only	General	General	G_General		
2969	Fire at marathahalli, please help in evacuation and call the fire department immediately	Emergency	Fire	E_Fire		
2197	Are you interested to attend the health care session?	General	General	G_General		
11878	Reached school along with Santosh Pinky	General	General	G_General		
11235	please be on time meeting scheduled at 6 PM	To-Do	Event	TD_Event		
10993	Severe cough	Emergency	Health	E_Health		
12898	There is fire on the second floor. Run now	Emergency	Fire	E_Fire		
9445	I am feeling body cold please call doctor soon	Emergency	Health	E_Health		
430	Let's keep our priorities straight to all callls	General	General	G_General		
577	Would not such a meeting be too trying for him, dear Anna Mikhaylovna? said he.	General	General	G_General		
6112	Suffering from pain in groin, left side of stomach, chest and back due to scurvy. Whom to consult?	Emergency	Health	E_Health		
429	That's not exactly a top priority meeting to go	General	General	G_General		
9186	Unable to reach you from long time, call soon	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
4131	There is molestation going on in sirsi circle. Please rescue.	Emergency	Police	E_Police		
9223	Urgent data to be updated. Call at the earliest.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
513	Call me on 333333333333 number after you reach home	To-Do	General	TD_General		
1960	see u then	General	General	G_General		
5336	you call to your office and take leave today immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
78	I'm calling evryone to Boston,let us all go there again	To-Do	General	TD_General		
836	I meet Tom on the street at 12pm	To-Do	General	TD_General		
9506	Meeting was scheduled @ 10am, please call back.	Emergency	Health	E_Health		
4983	I quit school for health reasons	General	General	G_General_Neg	N_Emergency_Health	
9904	Need money immediately.Better I put arsenal dartboard for sale by evening with details as Good condition but no doubles or trebles!	To-Do	Urgent_Normal	TD_Urgent_Normal		
10458	We will have a discussion on team building activity at tea time	To-Do	General	TD_General		
1080	Meet me there at midnight at 11pm	To-Do	General	TD_General		
9389	Situation critical call an ambulance	Emergency	Health	E_Health		
9031	Chain snatched in road near MG complex	General	General	G_General		
12053	Rs 2,372.83 was spent on your Credit Card 4386XXXXXXXX3646 on 22-DEC-16 at SOWBHAGYA AND CO.	General	General	G_General		
12722	Yes called already yesterday he was not picking will try again in some time	To-Do	General	TD_General		
9480	I saw an accident need ambulance	Emergency	Health	E_Health		
3243	High fever. Signs of Malaria	Emergency	Health	E_Health		
8240	I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!	General	General	G_General		
11290	call me, I am in Bangalore moved recently need your help	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
3594	Man sets self on fire at Detroit metro	Emergency	Police	E_Police		
267	I told Tom it was urgent. call him now	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
7233	Check for next Marathon date for the current year.	To-Do	General	TD_General		
7334	Last day!! You have a gift voucher of XYZ. Buy your needs today	To-Do	General	TD_General		
5667	visit mobile store to collect sim	To-Do	General	TD_General		
2738	I would like to schedule a meeting Monday, April 3, 2017 to discuss our participation in the upcoming Expo.	To-Do	Event	TD_Event		
1370	The teacher called the roll.	General	General	G_General		
2173	what should I do, to stop blood flow from body	Emergency	Health	E_Health		
12340	Dear all, Tomorrow at 11am we will meet for smondo -3 meeting in clubhouse area.info.	To-Do	Event	TD_Event		
1261	I'll call if we need you.	To-Do	General	TD_General		
11811	CALL AND TELL ME At what time?	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
9302	Drunk man clashed a car with tree on highway.	Emergency	Personal	E_Personal		
977	I'll arrange a meeting tomorrow with them	To-Do	General	TD_General		
12857	Pls call back when available	To-Do	General	TD_General		
4687	While filling the form,Call back immediately	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
4616	The requested material is not availble,kindly Call back immediately for other choice	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
10732	We will meet you on Monday	To-Do	General	TD_General		
588	She went, meeting his dark gaze.	General	General	G_General		
13353	you will come to hospital immediately to pay bills	Emergency	Health	E_Health		
7281	Your meeting has been re-scheduled.	General	General	G_General		
3155	Cannot reach you. Call back as soon as you receive this message	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
9906	please give me the doctor's appointment, my son is very sick	Emergency	Health	E_Health		
11518	Flat 40% off on first 1000 orders, use code RUSHCZ. Get 10% thereon, use code WOW (starts 12pm). Get 20% freecharge cash back too.Order: https://goo.gl/zOPpMo.	General	General	G_General		
5813	meeting with H.R @2pm	To-Do	Urgent_Normal	TD_Urgent_Normal		
11055	Doctor is saying , it is cancer.	Emergency	Health	E_Health		
322	I will call to security now if wont leave my cabin	General	General	G_General_Neg	N_Emergency_Personal	
4176	Emergency! Violent disturbance occurring on my campus. Give us the instructions from authorities	Emergency	Police	E_Police		
13179	Fire is on everyside !! Don’t knw where to go !! Call fire department now	Emergency	Fire	E_Fire		
3777	Three people are kidnapping the school childrens and moving to words silkboard	Emergency	Police	E_Police		
7255	Bread making session starts from tomorrow 12 pm for two weeks	To-Do	Event	TD_Event		
465	call rohit	To-Do	General	TD_General		
3355	Cab driver is doing drink and drive.	Emergency	Police	E_Police		
5164	There is smoke coming out from your house	Emergency	Fire	E_Fire		
12560	Its started sir	General	General	G_General		
11086	She is suffering from Typhoid	Emergency	Health	E_Health		
4640	In case project cant be completed withing deadline,Call back immediately	To-Do	Urgent_Normal	TD_Urgent_Normal		
1244	You made the right call.	General	General	G_General		
3827	Check book not yet received, check with bank	To-Do	Urgent_Normal	TD_Urgent_Normal		
3123	Child missing while playing nearby the sea. Need police	Emergency	Police	E_Police		
790	We will meet you on Monday	To-Do	General	TD_General		
11573	Data usage alert: You have consumed 50% of the data usage limit on your Airtel No. 959XXXXX0	General	General	G_General		
10897	My friend is in great need of money, please receive my call, its urgent	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
11588	We have received the payment of Rs.1492.72 for Airtel number 08049573665 via Netbanking. Start Standing Instructions for your credit card in 3 steps, click www.airtel.in/si	General	General	G_General		
2102	I am damn sleepy today	General	General	G_General_Neg	N_Emergency_Health	
6807	School bus caught on fire, avoid marathahalli junction signal	General	General	G_General		
11670	Happy Dhanteras! Celebrate with MAX. Shop for Rs. 3499 and get Chef Sanjeev Kapoor's festive mug set worth Rs.599 FREE. T&C. To opt out call 91803927XXXX	General	General	G_General		
8854	Police come to take our statement for the last night crime happen in our collony, please call all layout members immediately.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
1958	did u have bath	General	General	G_General		
8825	I acted as interpreter at the meeting.	General	General	G_General		
8118	Avoid electronic city road as building caught fire.	Emergency	Fire	E_Fire		
4778	Your appointment with Dr. T.P Namrata on 5/4/2017 has been cancelled. For any changes reply.	To-Do	Urgent_Normal	TD_Urgent_Normal		
1850	I haven't called Tom back	General	General	G_General		
8173	Allo! We have braved the buses and taken on the trains and triumphed. I mean were in bham. Have a jolly good rest of week	General	General	G_General		
12018	Balance in savings a/c XXXYY30 as of 15-DEC-2016 EOD is INR 0.00. Credits in a/c are subject to clearing. To know more use Axis Mobile: m.axisbank.com/bal	General	General	G_General		
5408	you need to call him now and tell him to come to office right now	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
5671	Purchase veggies in evening for cooking	To-Do	General	TD_General		
4887	Yay!! I have found a perfect dress for you from Elle. Let's go tomorrow and buy :D	To-Do	Event	TD_Event		
11739	Yes. That was discussed last week in idr. I have also sent a calender.	General	General	G_General		
2022	Dinner tonight?	General	General	G_General		
9340	Saw a wanted criminal in my locality	Emergency	Personal	E_Personal		
3163	Coffee at ccd?	To-Do	General	TD_General		
11414	Dear Customer, we have received the payment of Rs. 000 for your Airtel number 959XXXXX0. Remaining payment due: Rs.0.0. Please note, Cheque/ECS payments are subject to realization. You may view/pay your bills at www.airtel.in	General	General	G_General		
5603	Drop the cheque in bank tomorrow	To-Do	General	TD_General		
9204	Gas leak at house, call Mishra as soon as possible.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
8088	Krishna annual day function, call once your free.	To-Do	General	TD_General		
13406	we have to go ot hospital immediately to help the patient	Emergency	Health	E_Health		
1847	My parents call me up every day. (bart)	General	General	G_General		
12060	My mother in law is crtical. Hence going to dwd.	Emergency	Personal	E_Personal		
739	She was never meant to outlive meeting Gabriel.	General	General	G_General		
5878	Go to mosque by 1PM	To-Do	Urgent_Normal	TD_Urgent_Normal		
2877	call me immediately, baby nt wel	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
9420	Patient fell unconcious call a doctor	Emergency	Health	E_Health		
10377	Earth quake occurred in Delhi immediately call Ambulance	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
1292	I am calling from Germany. (Amastan)	General	General	G_General		
7051	Please help in evacuation of the fire burn victims to the Hospital for medical assistance.	To-Do	Urgent_Normal	TD_Urgent_Normal		
4762	There will be a smoking cessation clinic on Thursday evening.	To-Do	Event	TD_Event		
3604	Wrong test procedure used to pass emission test.	Emergency	Police	E_Police		
8157	Nah it's straight, you go now and just bring bud or drinks or something that's actually a little more useful than straight cash	General	General	G_General		
623	Paula left the room to call her mother.	General	General	G_General		
13035	Many people are trapped inside the supermarket at the end of the street because of the fire, someone please help	Emergency	Fire	E_Fire		
8311	only send me the contents page…	General	General	G_General		
12849	Lets meet at Jang cabin @ 9:30 am.	To-Do	Event	TD_Event		
6983	Come and meet the firefighters from red watch brierley hill at mums to market at Dudley lesuire centre today	To-Do	General	TD_General		
2672	Can we reschedule the meeting?	General	General	G_General_Neg	N_Emergency_Personal	
2864	Hope all are focusing on below topic as per the discussion on last meeting.	To-Do	Event	TD_Event		
2060	He is what you might call a bookworm.	General	General	G_General		
6472	complete your assignment	To-Do	General	TD_General		
282	Urgent business kept him from coming. call him immediately after meeting	To-Do	General	TD_General		
8108	Which medicine to give to chachiji, please call back urgently.	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
3612	Suspection of a Armed perosn near hospital.	Emergency	Police	E_Police		
11301	I lost my voter ID	To-Do	Urgent_Normal	TD_Urgent_Normal		
9075	Lost ATM card	General	General	G_General		
13321	I Should better go to hospital immediately	Emergency	Health	E_Health		
6581	get hotel reservation confirmation	To-Do	General	TD_General		
7024	the nearby school is on fire, help the staff and students in evacuation and call the fire engine.	Emergency	Fire	E_Fire		
5294	I will call to security right now if wont leave my cabin	To-Do	Urgent_Normal	TD_Urgent_Normal		
3079	Geeta is not well, call doctor urgent.Call me back once your available.	Emergency	Health	E_Health		
8479	Ask g or iouri, I've told the story like ten times already. Listen to it last time now or else I wont tell.	General	General	G_General		
5662	Order pizza for party tonight	To-Do	General	TD_General		
5261	fire near the airport, call the fire department	Emergency	Fire	E_Fire		
9710	Forword blood bank numbers. Urgently needed A+ blood	Emergency	Health	E_Health		
9804	Emergency numbers in case of an accident	Emergency	Health	E_Health		
9312	Pictures misused on the social media, Please help	Emergency	Personal	E_Personal		
2526	Please provide me with the ambulance number	Emergency	Health	E_Health		
10297	Are you willing to go for aptitude class.please nominee ASAP	To-Do	General	TD_General		
1752	Don't forget to call me back	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
72	Tom had a car accident in Boston. let's go to boston now	To-Do	Urgent_Normal	TD_Urgent_Normal		
10368	There is fire in our office immediately call ERT team for rescue	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
5066	Please call the DR. XYZ for the today's meeting	To-Do	Urgent_CallBack	TD_Urgent_CallBack		
8972	Sandeep(friend/relative) met with an accident,Do Call Him	To-Do	General	TD_Urgent_CallBack		
3898	Surgery is urgent, call the doctor	Emergency	Health	E_Health		
3054	Let him know about the test now	Emergency	Personal	E_Personal		
